what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126164906
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332126165269
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126168820
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126173121
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332126173857
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1332126174697
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332126176026
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126176450
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126180354
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332126180685
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126181115
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126184592
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332126184929
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126194131
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126223450
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126226685
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126231278
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126232770
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126233467
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126235542
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126236410
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126257198
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126259683
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126261863
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126266366
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332126266751
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126267210
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126269486
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332126269854
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126270392
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126273092
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332126273420
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332126276639
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126277746
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126280477
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332126280837
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126281433
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126284103
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332126284443
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126284971
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126287794
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332126288184
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332126291138
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332126293262
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332126303906
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332126305727
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126306199
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126309239
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332126309566
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126309972
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126313810
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332126314044
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1332126314723
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332126315608
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126320398
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126324652
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332126324982
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126325426
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126328807
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332126329074
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126329533
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126332941
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332126333295
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126333688
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126338362
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332126338670
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1332126339435
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332126340152
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1332126340869
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332126342091
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126342484
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1332126346137
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1332126346446
